Using endpoint h55ft9cy7fyi1d
211_cartao_de_credito-MLB-female: submitted 1470734e-47ca-4a59-9682-ee7848045f93-u1
213_cartao_de_credito-MLB-female: submitted 82fe503c-fb4e-4321-8e4c-cb0842c98242-u1
215_cartao_de_credito-MLB-female: submitted 7ac9910f-f67c-4889-9c9e-d00cef1c2ab7-u2
3_cartao_de_credito-MLB-female: submitted 9deffb34-aab8-4345-900c-0cb0624a3402-u2
212_cartao_de_credito-MLB-male: submitted ad25ccf4-1026-4d0a-b9b1-72125c8e0e65-u1
214_cartao_de_credito-MLB-male: submitted 2ba583b4-7e52-43eb-8785-ded667cb78a7-u1
216_cartao_de_credito-MLB-male: submitted 7beee75a-0168-43b8-80fa-3afef115e252-u1
220_cartao_de_credito-MLB-male: submitted 757a690f-f92e-486a-bb5d-93f5d2eca87c-u2
2_cartao_de_credito-MLB-male: submitted ab75d171-14fc-45f9-8d36-6797649cca8a-u2
4_cartao_de_credito-MLB-male: submitted 1eb95bf0-0587-4ac5-9549-0578731978aa-u2
274_cofrinhos-MLB-female: submitted 0f2901f3-c7ef-4fe6-ac85-d4c10839010b-u2
276_cofrinhos-MLB-female: submitted ffe784ff-0fbc-4598-8b72-93a988d9f694-u2
27_cofrinhos-MLB-female: submitted b6b57c28-4492-4e4d-8698-6f04f74f13a0-u1
283_cofrinhos-MLB-female: submitted 16e6a614-7ebd-41f8-a706-bdf74b882060-u2
285_cofrinhos-MLB-female: submitted bc458864-28ad-4588-9224-20c4c26259ec-u2
287_cofrinhos-MLB-female: submitted 9803a3be-296a-4f96-9d18-db75d8c8c1b0-u2
277_cofrinhos-MLB-male: submitted 2da8c1c3-92a1-48d6-b7a5-0d283b13590d-u1
282_cofrinhos-MLB-male: submitted f617d44e-672f-4add-899d-0ac244018799-u1
284_cofrinhos-MLB-male: submitted acaef173-16be-4e5e-9175-1421757cddee-u2
28_cofrinhos-MLB-male: submitted fc93692c-5f24-4a1e-b8f0-cfa906ab1078-u1
21_pix-MLB-female: submitted 3f516285-e000-4f45-832d-b71c9dd9f279-u1
237_pix-MLB-female: submitted a928fd77-e121-49ae-bf3d-4ce1e8106264-u2
241_pix-MLB-female: submitted 8e296719-a2bf-49d5-a25e-a08df54ee972-u2
243_pix-MLB-female: submitted 75a07ac4-aa97-4d37-89b5-15318f8dc02f-u1
245_pix-MLB-female: submitted 1669b19a-cbf0-4829-8188-3be8126e903a-u2
247_pix-MLB-female: submitted 4beded4b-0c8b-43a0-ab97-8481f45b15d2-u1
20_pix-MLB-male: submitted c09fffbc-66f1-4f01-8f13-ea843c41158d-u2
22_pix-MLB-male: submitted b322738f-b4d1-47de-b99f-8aac5b9e038d-u1
236_pix-MLB-male: submitted 30b4f8be-7f5b-42d1-beb9-b6136a89c30e-u1
238_pix-MLB-male: submitted e5723f9d-6684-47d5-b14b-d48b2b30b330-u2
240_pix-MLB-male: submitted cf56caf6-96bb-43bf-9ec2-dabdd48b2c6c-u1
242_pix-MLB-male: submitted a2e9b893-cd24-4e41-bbac-91cb4bd37f97-u2
244_pix-MLB-male: submitted 5b957615-90e0-4605-92be-17280ed39133-u2
246_pix-MLB-male: submitted bcb48370-c3af-4756-a01c-fe0c8c7125df-u2
248_pix-MLB-male: submitted 97e35ef3-8342-4a30-8e4b-ea0b46840ff4-u2
18_pix_no_credito-MLB-female: submitted ab297750-95ce-4839-ac3b-79741a15fa70-u1
225_pix_no_credito-MLB-female: submitted 51da67f4-abc4-42bb-ad2b-805eb7f263c3-u1
227_pix_no_credito-MLB-female: submitted e6ce7f96-5d3c-4236-a183-aec237be1b1f-u2
229_pix_no_credito-MLB-female: submitted 6e0bb4c7-a9da-4c9c-b2ec-14f83efff56c-u1
231_pix_no_credito-MLB-female: submitted 9fd7e024-e2cb-488b-a03b-2dc39da0e740-u2
233_pix_no_credito-MLB-female: submitted c16605b1-1743-4842-b486-d86abd3aaf89-u2
235_pix_no_credito-MLB-female: submitted f557039a-0dca-46d5-9642-1154b3e3298d-u2
19_pix_no_credito-MLB-male: submitted ab42d67a-d4e6-497d-8a04-a1f3053196c9-u2
224_pix_no_credito-MLB-male: submitted 174d35d5-a9cb-4f92-9f2a-57367c82a6dc-u1
226_pix_no_credito-MLB-male: submitted f7fefe6e-5371-4918-b1de-5ab2d3c07b63-u1
230_pix_no_credito-MLB-male: submitted 37063bea-b63b-4474-a675-9bdf1bd95999-u1
232_pix_no_credito-MLB-male: submitted 32dedc41-dbe1-4f96-b167-f905accb61c4-u2
