Parent Folder,Filename,Type,Public URL,Finished
41_smart_2-MLB-female,scene_2_testimonial.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/41_smart_2-MLB-female/scene_2_testimonial.mp3,
41_smart_2-MLB-female,scene_3_close.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/41_smart_2-MLB-female/scene_3_close.mp3,
41_smart_2-MLB-female,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/41_smart_2-MLB-female/scene_1_hook.mp3,
41_smart_2-MLB-female,41_smart_2-MLB-female_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/41_smart_2-MLB-female/41_smart_2-MLB-female_scene_1_nobg.png,
41_smart_2-MLB-female,41_smart_2-MLB-female_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/41_smart_2-MLB-female/41_smart_2-MLB-female_scene_3.png,
41_smart_2-MLB-female,41_smart_2-MLB-female_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/41_smart_2-MLB-female/41_smart_2-MLB-female_scene_2.png,
41_smart_2-MLB-female,41_smart_2-MLB-female_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/41_smart_2-MLB-female/41_smart_2-MLB-female_scene_1.png,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_3_lipsync.mp4,Yes
56_smart_2-MLB-male,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/scene_3_cta.mp3,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_1_nobg.png,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_3.mp4,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_2.mp4,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_1.mp4,
56_smart_2-MLB-male,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/scene_1_hook.mp3,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_1.png,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_3.png,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_2.png,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_2_lipsync.mp4,Yes
56_smart_2-MLB-male,scene_2_body.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/scene_2_body.mp3,
56_smart_2-MLB-male,56_smart_2-MLB-male_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/56_smart_2-MLB-male/56_smart_2-MLB-male_scene_1_lipsync.mp4,Yes
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_2_lipsync.mp4,Yes
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_1.png,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_2.png,
699_smart_2-MLM-female,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/scene_3_cta.mp3,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_3.png,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_1_nobg.png,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_1_lipsync.mp4,Yes
699_smart_2-MLM-female,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/scene_1_hook.mp3,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_3_lipsync.mp4,Yes
699_smart_2-MLM-female,scene_2_body.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/scene_2_body.mp3,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_2.mp4,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_3.mp4,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_1.mp4,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_1_nobg.png,
698_smart_2-MLM-male,scene_2_testimonial.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/scene_2_testimonial.mp3,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_1.png,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_2.png,
698_smart_2-MLM-male,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/scene_3_cta.mp3,
