Using endpoint h55ft9cy7fyi1d
35_15_000_de_descuento-MLA-female: submitted 1a7bc0c4-1d0c-444a-8649-e100c01a5490-u2
36_15_000_de_descuento-MLA-male: submitted 236916dc-10ad-48ab-9f13-4444942a6e78-u1
7_15_000_de_descuento-MLA-male: submitted 047a546a-219b-4d5f-8006-164000f6fb01-u1
82_15_000_de_descuento-MLA-female: submitted 6b12cab9-a0d8-415a-b28a-71522b815bea-u2
83_15_000_de_descuento-MLA-male: submitted f6321750-ed9f-44b7-999e-7e6d40e68e11-u2
84_15_000_de_descuento-MLA-male: submitted 54634a1a-289c-4d1f-b57f-7ef5a62f9a75-u1
10_cuotas_sin_tarjeta-MLA-male: submitted 13cdeaf5-8f8c-48e9-a6e5-dc264e1e4ee6-u2
37_cuotas_sin_tarjeta-MLA-female: submitted 78a03868-a574-4d08-9b5c-4fc5938006f8-u1
38_cuotas_sin_tarjeta-MLA-male: submitted f2abf96b-764c-4a9f-9adf-48efe203c3e5-u1
31_paga_tus_servicios-MLA-female: submitted 577a1302-986e-449e-a7e8-23cf631a462b-u1
32_paga_tus_servicios-MLA-male: submitted b883d3b8-3dcc-43d5-b5e2-796a1f4b2fb4-u2
3_paga_tus_servicios-MLA-male: submitted cd9e3185-41fc-462e-b31e-64a5f268b8ff-u2
58_paga_tus_servicios-MLA-male: submitted a1db75cf-26d6-4913-b85c-d680d6b47a3e-u1
61_paga_tus_servicios-MLA-female: submitted 384d72cb-ed24-44a9-83fe-0f32421375b5-u2
62_paga_tus_servicios-MLA-male: submitted db633b1f-1d6e-42a4-bfac-49769cf38ef4-u2
63_paga_tus_servicios-MLA-female: submitted 1b157207-8949-4ef5-8ae7-df7027875e55-u1
64_paga_tus_servicios-MLA-female: submitted b4f6075a-055f-4dcf-a9f9-994f202c3974-u2
65_paga_tus_servicios-MLA-male: submitted c4224b3a-b706-4005-8868-dd896ace3e0a-u1
66_paga_tus_servicios-MLA-male: submitted f2c8db1a-abae-447b-87ab-988e4abcbc83-u1
67_paga_tus_servicios-MLA-female: submitted 7ab81f56-9cdd-4f26-a217-ae1f4b84ad44-u1
11_prestamo_personal-MLA-male: submitted 97ce4754-9112-4574-a5f4-ba0720558626-u1
12_prestamo_personal-MLA-female: submitted ef43e881-1214-4606-a662-a40a17566d68-u1
39_prestamo_personal-MLA-female: submitted 18a9a7e7-f24a-4522-8ad0-15ec4587e901-u2
40_prestamo_personal-MLA-male: submitted 7fe9dc9d-819b-4fdf-9d1b-adb08eec6821-u2
33_rendimientos-MLA-female: submitted 2b457ebb-0e8d-409f-9386-bb0fd88e594e-u2
34_rendimientos-MLA-male: submitted 8dea30a3-0532-4abf-aec1-f21631b08da0-u1
5_rendimientos-MLA-female: submitted a8e1282a-9e11-4473-858d-43eab82ced59-u1
68_rendimientos-MLA-female: submitted 001312f8-326a-4888-8417-dbd0be4029a6-u1
69_rendimientos-MLA-female: submitted c3225fbf-fc1f-410e-9cba-dc13c60334c3-u2
6_rendimientos-MLA-male: submitted cc0b7692-4320-4809-bbdf-e1eb35537220-u2
72_rendimientos-MLA-male: submitted 003ee0a1-e7bf-4382-94d6-85eb1036a652-u2
73_rendimientos-MLA-female: submitted 9be46983-de4e-46b5-89fb-b4a09f6fabc8-u2
1_tarjeta_prepaga-MLA-female: submitted 04415598-dea0-4ef7-be28-43ba8a501a27-u1
1_tarjeta_prepaga_de_mercado_pago-MLA-male: submitted 9ac21bf4-2d5c-4b4f-b7de-be507bfbcc3b-u2
29_tarjeta_prepaga-MLA-male: submitted a72bc622-021e-4ddd-81ca-71bc9e89670b-u1
2_tarjeta_prepaga-MLA-male: submitted 275a1d03-35f6-4e99-8e94-d3456b4a75da-u1
41_tarjeta_prepaga-MLA-female: submitted 940ac6cf-0fd4-401f-a8e7-79004a15ad03-u1
42_tarjeta_prepaga-MLA-male: submitted 4f1b25dd-4f4e-47f9-a1a3-a964d005794f-u2
43_tarjeta_prepaga-MLA-female: submitted 68e9d448-facb-4a63-ae10-0d95068582bc-u2
46_tarjeta_prepaga-MLA-male: submitted bab223ac-0534-47e2-8526-8f7f52d59e29-u2
48_tarjeta_prepaga-MLA-female: submitted 1fc3b1cb-78b5-4d13-ad89-9dd144a549c7-u2
50_tarjeta_prepaga-MLA-male: submitted 537f2cd9-1712-4d69-a281-bd2279037b6f-u2
51_tarjeta_prepaga-MLA-female: submitted 3ed4a890-bf60-440b-af87-8852bcf98d38-u2
53_tarjeta_prepaga-MLA-male: submitted 9490d9dd-57f9-4434-9413-e3c5f90f6246-u1
57_tarjeta_prepaga-MLA-female: submitted d5b36399-d35f-43f9-9d36-e6b15cb6347a-u2
Submitted 45/45 jobs
