Using endpoint h55ft9cy7fyi1d
82_15_000_de_descuento-MLA-female: submitted 9838a8a9-5cd1-4160-bdb8-66e103d51e62-u2
1_tarjeta_prepaga-MLA-female: submitted 73799b13-4a73-405c-9985-d57d3f6fd735-u2
1_tarjeta_prepaga_de_mercado_pago-MLA-male: submitted 25dfcf6f-fb4b-4cbf-8045-ac86fc866d27-u2
29_tarjeta_prepaga-MLA-male: submitted c77c1484-c83b-4d77-b866-dec6d2d34fd4-u2
2_tarjeta_prepaga-MLA-male: submitted d409debe-2133-4164-915b-f59f960c5ad4-u2
41_tarjeta_prepaga-MLA-female: submitted c2e1fd45-44a0-4a95-99a5-b4ea22372cef-u2
42_tarjeta_prepaga-MLA-male: submitted 69924664-d64b-4981-8b85-abe6c217b4c8-u1
43_tarjeta_prepaga-MLA-female: submitted 59b844fb-7e34-4679-b959-a68eaa9ee155-u1
46_tarjeta_prepaga-MLA-male: submitted fc0593d3-78c0-467a-8873-094ba545b267-u2
48_tarjeta_prepaga-MLA-female: submitted 2b4702bd-86e7-4c5f-b9fe-931ac369a6ea-u2
50_tarjeta_prepaga-MLA-male: submitted 987ef9ce-d89c-4089-8c9c-2d9439bec3ec-u2
51_tarjeta_prepaga-MLA-female: submitted f1ce0af3-2e96-4516-95d7-e2823519dbb7-u1
53_tarjeta_prepaga-MLA-male: submitted 45d2a844-f20a-415b-a1ac-ec967eaeb705-u2
57_tarjeta_prepaga-MLA-female: submitted 10e0e811-beaf-4f3e-a65d-cbd036286b50-u1
Submitted 14/14 missing jobs
